,Year,Artist,Track,Length,Genre,Date Entered Rankings,Date Peaked,Days to Peak,Total Weeks,Week,Rank
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,x1st.week,78.0
1,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x1st.week,15.0
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,x1st.week,71.0
3,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x1st.week,41.0
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,x1st.week,57.0
5,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,x1st.week,59.0
6,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,84,32,x1st.week,83.0
7,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,x1st.week,63.0
8,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,x1st.week,77.0
9,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,x1st.week,81.0
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,x1st.week,82.0
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,x1st.week,71.0
12,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,175,41,x1st.week,70.0
13,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,x1st.week,84.0
14,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,x1st.week,59.0
15,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,x1st.week,60.0
16,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,x1st.week,82.0
17,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,168,53,x1st.week,81.0
