,Year,Artist,Track,Length,Genre,Date Entered Rankings,Date Peaked,Days to Peak,Total Weeks,Week,Rank
952,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x4th.week,5.0
1269,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x5th.week,2.0
1271,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x5th.week,2.0
1586,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x6th.week,3.0
1588,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x6th.week,1.0
1903,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x7th.week,2.0
1905,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x7th.week,1.0
1910,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,x7th.week,2.0
1922,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,x7th.week,3.0
1924,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,x7th.week,2.0
1937,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,x7th.week,5.0
2219,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,x8th.week,5.0
2220,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x8th.week,2.0
2222,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x8th.week,1.0
2227,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,x8th.week,1.0
2230,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,x8th.week,1.0
2239,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,x8th.week,2.0
2241,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,x8th.week,2.0
2249,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,x8th.week,5.0
2250,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,x8th.week,4.0
2536,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,x9th.week,1.0
2537,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x9th.week,1.0
2538,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,x9th.week,4.0
2539,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x9th.week,1.0
2544,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,x9th.week,1.0
2547,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,x9th.week,1.0
2556,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,x9th.week,2.0
2558,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,x9th.week,3.0
2566,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,x9th.week,5.0
2567,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,x9th.week,5.0
2853,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,x10th.week,1.0
2854,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x10th.week,1.0
2855,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,x10th.week,4.0
2856,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x10th.week,2.0
2858,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,x10th.week,5.0
2861,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,x10th.week,2.0
2864,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,x10th.week,2.0
2869,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,x10th.week,2.0
2873,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,x10th.week,4.0
2883,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,x10th.week,5.0
2884,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,x10th.week,4.0
2890,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,x10th.week,5.0
2891,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,x10th.week,5.0
3170,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,x11th.week,1.0
3171,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,x11th.week,1.0
3172,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,x11th.week,4.0
3173,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,x11th.week,2.0
3174,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,x11th.week,1.0
3175,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,x11th.week,1.0
3177,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,x11th.week,5.0
