,Year,Artist,Track,Length,Genre,Date Entered Rankings,Date Peaked,Days to Peak,Total Weeks,Rank
1588,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,1.0
2227,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,1.0
2230,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,1.0
2536,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,1.0
2537,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,1.0
3174,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,1.0
3175,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,1.0
3186,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,1.0
3810,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,84,32,1.0
3811,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,1.0
3814,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,1.0
3819,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,84,39,1.0
4135,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,1.0
4440,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,1.0
7937,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,175,41,1.0
8255,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,182,47,1.0
12372,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,273,55,1.0
