,Year,Artist,Track,Length,Genre,Date Entered Rankings,Date Peaked,Days to Peak,Total Weeks,Week,Rank
318,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,2,8.0
635,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,3,6.0
683,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,14,5,3,7.0
952,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,4,5.0
986,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,4,9.0
1000,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,14,5,4,8.0
1269,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,5,2.0
1271,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,5,2.0
1303,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,5,7.0
1586,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,6,3.0
1588,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,6,1.0
1612,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,6,9.0
1615,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,6,7.0
1616,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,6,7.0
1620,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,6,7.0
1622,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,6,6.0
1630,2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,35,32,6,7.0
1902,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,7,7.0
1903,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,7,2.0
1904,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,7,7.0
1905,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,7,1.0
1909,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,7,9.0
1910,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,7,2.0
1922,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,7,3.0
1924,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,7,2.0
1929,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,7,8.0
1932,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,7,6.0
1933,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,7,6.0
1937,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,7,5.0
1939,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,7,7.0
1945,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,49,20,7,9.0
1947,2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,35,32,7,7.0
1954,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,49,20,7,10.0
2219,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,8,5.0
2220,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,8,2.0
2221,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,8,6.0
2222,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,8,1.0
2223,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,8,9.0
2224,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,8,10.0
2226,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,8,8.0
2227,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,8,1.0
2229,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,8,9.0
2230,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,8,1.0
2239,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,8,2.0
2241,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,8,2.0
2246,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,8,7.0
2249,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,8,5.0
2250,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,8,4.0
2252,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,8,10.0
2254,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,8,7.0
2256,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,8,7.0
2257,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,8,10.0
2258,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,77,24,8,10.0
2262,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,49,20,8,6.0
2263,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,49,20,8,6.0
2270,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,49,20,8,9.0
2271,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,49,20,8,9.0
2536,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,9,1.0
2537,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,9,1.0
2538,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,9,4.0
2539,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,9,1.0
2540,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,70,21,9,9.0
2541,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,9,10.0
2543,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,9,8.0
2544,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,9,1.0
2546,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,9,7.0
2547,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,9,1.0
2556,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,9,2.0
2558,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,9,3.0
2563,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,126,28,9,8.0
2566,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,77,23,9,5.0
2567,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,49,19,9,5.0
2569,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,91,22,9,9.0
2571,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,42,21,9,7.0
2572,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,91,27,9,8.0
2573,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,63,26,9,6.0
2574,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,63,26,9,7.0
2579,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,49,20,9,7.0
2580,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,49,20,9,9.0
2587,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,49,20,9,9.0
2588,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,49,20,9,10.0
2853,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,56,28,10,1.0
2854,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,56,26,10,1.0
2855,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,98,33,10,4.0
2856,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,35,24,10,2.0
2858,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,70,24,10,5.0
2860,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,84,20,10,6.0
2861,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,49,26,10,2.0
2863,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,84,25,10,7.0
2864,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,49,24,10,2.0
2867,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,91,32,10,10.0
2869,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,70,20,10,2.0
2873,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,49,37,10,4.0
2875,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,42,20,10,6.0
2878,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,112,28,10,10.0
