,storeNumber,city,totalSalesDollars,avgSalesDollars,countyNumber,avgPrice(L),zipCode,totalVolSold(L),avgVolSold(L),avgMargin,totalSalesQ1,avgSalesQ1
0,2106,CEDAR FALLS,146326.22,277.65886148,7.0,17.8566007048,50613,9731.85,18.4665085389,5.16631878558,39287.29,304.552635659
1,2113,GOWRIE,9310.22,63.334829932,94.0,18.5042921931,50543,659.85,4.4887755102,5.44510204082,2833.25,67.4583333333
2,2130,WATERLOO,111871.43,285.38630102,7.0,16.8356693392,50703,6891.37,17.5800255102,4.92584183673,24272.57,278.995057471
3,2152,ROCKWELL,7721.08,54.7594326241,17.0,13.0209827761,50469,633.37,4.4919858156,4.32262411348,2003.46,62.608125
4,2178,WAUKON,24324.18,102.633670886,3.0,16.0621358248,52172,1917.12,8.08911392405,4.86886075949,5856.41,122.008541667
5,2190,DES MOINES,121689.06,92.5392091255,77.0,23.3062416863,50314,6322.17,4.8077338403,5.77425855513,29452.92,84.8787319885
6,2191,KEOKUK,125093.49,209.88840604,56.0,19.0674673007,52632,8053.32,13.5122818792,5.77808724832,29085.57,192.619668874
7,2200,SAC CITY,22811.55,56.6043424318,81.0,16.7073555477,50583,1817.24,4.50928039702,5.62086848635,4900.43,58.338452381
8,2205,CLARINDA,24681.39,85.6992708333,73.0,19.1655704365,51632,1556.91,5.4059375,5.09878472222,6407.74,91.5391428571
9,2228,WINTERSET,17462.07,72.758625,61.0,17.89375,50273,1367.65,5.69854166667,4.87541666667,5193.97,86.5661666667
10,2233,SPIRIT LAKE,29553.34,122.627966805,30.0,19.9443153527,51360,2480.69,10.2933195021,5.86211618257,5374.55,124.989534884
11,2238,ALTOONA,11762.56,192.828852459,77.0,22.5507494145,50009,705.75,11.5696721311,6.15901639344,858.61,122.658571429
12,2248,DES MOINES,67682.06,147.134913043,77.0,28.8171361588,50312,2815.35,6.12032608696,7.53473913043,12663.68,125.382970297
13,2285,IOWA CITY,76927.11,251.395784314,52.0,24.7769825708,52240,3860.35,12.6155228758,6.82960784314,10019.12,172.743448276
14,2290,STORM LAKE,56514.43,72.0847321429,11.0,19.0026679422,50588,3626.2,4.62525510204,5.30155612245,12191.26,76.195375
15,2327,CORNING,10245.14,54.2070899471,2.0,17.3210859158,50841,822.28,4.35068783069,5.09984126984,2253.6,52.4093023256
16,2353,CRESCO,54000.55,148.76184573,45.0,17.3434317198,52136,4504.65,12.4095041322,5.15371900826,17382.6,175.581818182
17,2367,SHENANDOAH,5010.83,111.351777778,73.0,16.6993968254,51601,346.75,7.70555555556,4.76,2023.44,91.9745454545
18,2413,DUBUQUE,90065.02,187.245363825,31.0,15.8796861697,52001,6261.29,13.0172349272,5.02654885655,22459.16,198.753628319
19,2445,OAKLAND,7189.48,42.0437426901,78.0,15.9420690615,51560,571.79,3.34380116959,4.94947368421,1215.08,37.97125
20,2448,INDIANOLA,17740.7,43.1647201946,91.0,17.0433286989,50125,1245.53,3.030486618,5.04914841849,5655.92,50.4992857143
21,2459,GUTHRIE CENTER,7352.33,68.0771296296,39.0,13.5713977072,50115,607.24,5.62259259259,4.0262037037,1609.57,73.1622727273
22,2460,HAMPTON,33731.76,101.296576577,35.0,16.5992378092,50441,2782.46,8.35573573574,5.13195195195,6746.61,82.2757317073
23,2465,DUBUQUE,25831.8,66.0659846547,31.0,20.7746196995,52003,1713.2,4.38158567775,5.89792838875,5615.99,57.3060204082
