,County,sumOfSales15,totalSales15
0,Adair,43747.18,2240
1,Adams,10245.14,16630
2,Allamakee,79918.47,15030
3,Appanoose,77033.64,8944
4,Audubon,16429.26,671
5,Benton,65334.19,23462
6,Black Hawk,1583084.01,3522
7,Boone,185610.02,6360
8,Bremer,167492.71,48944
9,Buchanan,143312.18,978
10,Buena Vista,173802.25,48944
11,Butler,25516.37,1188
12,Calhoun,28576.62,16630
13,Carroll,269107.98,3319
14,Cass,102595.94,13163
15,Cedar,52590.04,2240
16,Cerro Gordo,570061.54,15030
17,Cherokee,71931.28,1188
18,Chickasaw,38866.37,2828
19,Clarke,67068.36,16630
20,Clay,145617.75,23462
21,Clayton,74237.89,983
22,Clinton,342639.32,1328
23,Crawford,117664.05,6360
24,Dallas,500885.29,23462
25,Davis,11152.82,3409
26,Decatur,15429.46,13163
27,Delaware,78857.69,9088
28,Des Moines,385644.38,48944
29,Dickinson,389510.91,13163
30,Dubuque,888989.08,8944
31,Emmet,57988.3,3319
32,Fayette,117564.75,2460
33,Floyd,121284.6,3144
34,Franklin,52772.42,983
35,Fremont,2654.45,48944
36,Greene,62499.48,48944
37,Grundy,29734.85,8944
38,Guthrie,31196.24,16630
39,Hamilton,84834.87,48944
40,Hancock,30229.05,15030
41,Hardin,178555.89,23462
42,Harrison,52829.65,8944
43,Henry,116285.18,48944
44,Howard,84224.34,48944
45,Humboldt,49753.7,983
46,Ida,62890.82,6360
47,Iowa,116964.75,671
48,Jackson,126340.73,2105
49,Jasper,170070.7,1585
50,Jefferson,83784.47,1911
51,Johnson,1719917.1,1133
52,Jones,104166.25,8541
53,Keokuk,14877.96,23462
54,Kossuth,184201.54,1544
55,Lee,386605.7,1000
56,Linn,2606326.77,699
57,Louisa,25358.53,1720
58,Lucas,36768.2,48944
59,Lyon,78415.19,48944
60,Madison,85182.12,2737
61,Mahaska,98577.37,16630
62,Marion,196629.32,9088
63,Marshall,277164.08,3319
64,Mills,41862.55,23462
65,Mitchell,40905.71,15030
66,Monona,53677.73,16630
67,Monroe,29392.84,566
68,Montgomery,66418.73,23462
69,Muscatine,292375.73,8541
70,O'Brien,144714.05,3409
71,Osceola,24456.7,7739
72,Page,110867.32,15030
73,Palo Alto,55920.2,584
74,Plymouth,137864.77,1118
75,Pocahontas,36171.25,15030
76,Polk,6402210.51,1100
77,Pottawattamie,1013367.23,3409
78,Poweshiek,138509.82,23462
79,Ringgold,15505.45,437
80,Sac,53942.06,1305
81,Scott,2044168.58,48944
82,Shelby,92522.53,1917
83,Sioux,157514.32,3975
84,Story,887234.71,298
85,Tama,60289.74,1100
86,Taylor,11765.89,1099
87,Union,91964.12,8944
88,Van Buren,17239.61,48944
89,Wapello,271974.96,13163
90,Warren,249295.59,584
91,Washington,144621.79,48944
92,Wayne,11022.08,8944
93,Webster,360901.52,13163
94,Winnebago,76931.8,1655
95,Winneshiek,119065.44,48944
96,Woodbury,1000584.9,3975
97,Worth,25831.38,1675
98,Wright,67345.2,983
