faaRegion,city,state,apType,latitude,longitude,airport,year,totDepart,totArriv,totCanc
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2004,53971,53818,477.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2005,51829,51877,411.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2006,49682,51199,721.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2007,53255,53611,670.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2008,49589,49512,633.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2009,42550,42704,354.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2010,42302,42169,399.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2011,42283,42297,639.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2012,39105,39107,418.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2013,35277,34989,444.0
ASW,ALBUQUERQUE,NM,Federalized/Commercial,35.040194,-106.609194,ABQ,2014,33292,33137,589.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2004,16503,15511,1005.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2005,72043,67034,908.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2006,75708,69995,803.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2007,78741,73323,782.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2008,76606,72479,623.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2009,67252,63135,775.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2010,73089,68125,353.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2011,72556,66845,456.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2012,70322,66453,500.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2013,69984,65469,325.0
AAL,ANCHORAGE,AK,Federalized/Commercial,61.174083,-149.998194,ANC,2014,71099,66704,273.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2004,477323,473249,16303.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2005,484570,480171,28317.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2006,483334,478735,13925.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2007,491826,486799,14586.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2008,482903,478627,12535.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2009,479957,475882,11627.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2010,469542,465911,17477.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2011,454954,453734,14039.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2012,457501,455968,5041.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2013,448180,445498,6366.0
ASO,ATLANTA,GA,Federalized/Commercial,33.6367,-84.427864,ATL,2014,428954,428312,12460.0
ASW,AUSTIN,TX,Federalized/Commercial,30.194528,-97.669889,AUS,2004,14094,14052,913.0
ASW,AUSTIN,TX,Federalized/Commercial,30.194528,-97.669889,AUS,2005,55790,55678,846.0
