year,airport,totDepart,totArriv,pctOnTimeGateDep,pctOnTimeArprtDep,pctOnTimeGateArriv,depDiv,depCanc,arrDiv,arrCanc,avgGateDepDelay,avgArprtDepDelay,avgGateArrDelay,avgAirDelay,avgBlckDelay,avgTaxiOut,avgTaxiOutDelay,avgTaxiInDelay,totCanc,totDiv
2004.0,ABQ,53971,53818,0.803,0.7809,0.7921,71.0,242.0,46.0,235.0,10.38,12.1,10.87,2.46,2.55,9.89,2.43,0.83,477.0,117.0
2005.0,ABQ,51829,51877,0.814,0.7922,0.8001,61.0,221.0,33.0,190.0,9.6,11.2,10.24,2.26,2.34,9.79,2.29,0.89,411.0,94.0
2006.0,ABQ,49682,51199,0.7983,0.7756,0.7746,71.0,392.0,124.0,329.0,10.84,12.33,11.82,2.12,2.66,9.89,2.16,0.84,721.0,195.0
2007.0,ABQ,53255,53611,0.8005,0.7704,0.7647,107.0,366.0,45.0,304.0,11.29,12.95,12.71,2.19,3.06,10.34,2.4,1.29,670.0,152.0
2008.0,ABQ,49589,49512,0.8103,0.7844,0.7875,79.0,333.0,42.0,300.0,10.79,12.32,11.48,1.82,2.79,10.41,2.41,1.03,633.0,121.0
2009.0,ABQ,42550,42704,0.8341,0.8147,0.8224,74.0,192.0,26.0,162.0,9.24,10.45,9.27,1.74,1.98,9.88,1.89,0.92,354.0,100.0
2010.0,ABQ,42302,42169,0.8144,0.7907,0.8047,71.0,222.0,50.0,177.0,10.25,11.58,10.23,1.66,1.9,9.95,2.05,0.95,399.0,121.0
2011.0,ABQ,42283,42297,0.8072,0.7758,0.8022,77.0,345.0,61.0,294.0,10.81,12.57,10.63,1.58,1.87,10.5,2.51,0.84,639.0,138.0
2012.0,ABQ,39105,39107,0.8219,0.794,0.8177,65.0,237.0,60.0,181.0,10.55,12.11,9.73,1.41,1.8,10.27,2.32,0.98,418.0,125.0
2013.0,ABQ,35277,34989,0.771,0.7402,0.7554,62.0,232.0,46.0,212.0,12.56,14.28,12.76,1.6,2.35,10.77,2.64,0.92,444.0,108.0
2014.0,ABQ,33292,33137,0.7451,0.7148,0.732,66.0,315.0,37.0,274.0,14.3,15.99,14.72,1.73,2.4,10.64,2.41,1.02,589.0,103.0
2004.0,ANC,16503,15511,0.7109,0.677,0.6502,73.0,473.0,30.0,532.0,21.45,23.05,22.62,4.03,5.93,12.41,2.92,1.08,1005.0,103.0
2005.0,ANC,72043,67034,0.7394,0.7061,0.6955,74.0,424.0,31.0,484.0,18.36,19.97,19.35,3.65,4.96,12.19,2.78,1.01,908.0,105.0
2006.0,ANC,75708,69995,0.7771,0.7455,0.711,88.0,367.0,50.0,436.0,15.56,17.07,17.71,4.29,5.83,12.84,2.54,0.72,803.0,138.0
