,year,sysID,sysName,schoolID,schoolName,grd,ccrpi,street,city,county,state,zip,locClass,titleI,chrtr,totStudnts,crprlPun,dtntn,iss,oss,altSchl,physRest,busSusp,explsn,other_discipline_action,pctDisc,bully,disCond,gngRel,hom,sexRelated,drugAlc,weapons,thftRbry,violence,pctBehavrs,stdTchRatio,expPerStudent,salBenSum,freeLnch,reducedLnch,pctMobile,pctAbs5orLess,pctAbsSix-Fiftn,pctOverFiftn,pctSnapTanfHmls,pctAsian,pctNative,pctBlck,pctHisp,pctMulti,pctWhite,pctMigrant,pctSPED,pctESOL,pctAltProg,pctGiftd
0,2015,601,Appling County,103,Appling County High School,H,73.6,482 Blackshear Hwy,Baxley,Appling County,GA,31513,33.0,No,No,1063,0,0,349,90,10,0,8,0,103,0.42991533396,0,304,2,0,7,41,2,3,43,0.378174976482,16.4,5721.49,18817718.34,726.0,0.0,0.106679961085,41.6,38.2,20.2,30,1,0,22,11,2,64,4,12.7,1.3,6.8,6.8
1,2015,601,Appling County,177,Appling County Elementary School,E,68.8,680 Blackshear Hwy,Baxley,Appling County,GA,31513,33.0,Yes,No,619,29,0,0,15,0,0,7,0,1,0.0823909531502,0,0,0,0,1,0,3,0,10,0.0226171243942,14.3,4936.78,18817718.34,480.0,1.0,0.0938566550612,55.1,38.6,6.3,46,1,0,29,19,4,47,7,12.8,8.7,0.0,2.0
2,2015,601,Appling County,195,Appling County Middle School,M,68.8,2997 Blackshear Hwy,Baxley,Appling County,GA,31513,41.0,Yes,No,826,34,0,159,33,3,10,8,0,4,0.299031476998,4,8,0,0,7,5,1,2,39,0.0799031476998,15.6,5703.74,18817718.34,553.0,0.0,0.102864585817,48.1,41.2,10.8,38,1,0,22,12,4,62,4,11.2,1.4,2.2,7.0
4,2015,601,Appling County,1050,Altamaha Elementary School,E,72.3,344 Altamaha School Rd,Baxley,Appling County,GA,31513,42.0,Yes,No,361,40,0,0,0,0,0,1,0,0,0.113573407202,0,3,0,0,0,0,0,0,0,0.00831024930748,14.9,6076.04,18817718.34,264.0,0.0,0.105128206313,44.9,42.7,12.5,34,0,0,6,6,2,86,2,13.2,4.1,0.0,6.2
5,2015,601,Appling County,5050,Fourth District Elementary School,E,68.2,13396 Blackshear Hwy,Surrency,Appling County,GA,31563,43.0,Yes,No,164,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0.00609756097561,14.2,5533.32,18817718.34,130.0,0.0,0.121387280524,43.3,45.7,11.0,33,0,0,9,9,5,78,5,8.6,2.6,0.0,2.0
6,2015,602,Atkinson County,103,Atkinson County High School,H,88.5,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43.0,Yes,No,469,15,0,160,46,13,0,0,0,0,0.498933901919,1,0,0,0,0,22,0,0,19,0.089552238806,17.8,4788.85,8373554.4,321.0,52.0,0.121839083731,58.8,30.3,10.9,33,0,0,20,32,1,47,0,13.3,1.1,4.1,7.6
7,2015,602,Atkinson County,111,Atkinson County Middle School,M,72.7,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43.0,Yes,No,418,18,0,85,32,9,0,0,0,0,0.344497607656,2,0,0,0,2,7,0,0,28,0.0933014354067,16.5,4607.74,8373554.4,289.0,57.0,0.117346942425,55.7,37.6,6.7,41,0,0,15,35,1,49,2,17.3,1.8,1.3,6.4
8,2015,602,Atkinson County,187,Willacoochee Elementary School,E,89.7,430 South Vickers Street,Willachochee,Atkinson County,GA,31650,42.0,Yes,No,211,2,0,0,5,0,0,0,0,0,0.0331753554502,0,4,0,0,0,0,0,0,0,0.0189573459716,13.0,6933.46,8373554.4,194.0,20.0,0.114285714924,51.7,41.7,6.6,57,0,0,29,32,2,37,5,14.7,10.0,0.0,1.1
9,2015,602,Atkinson County,190,Pearson Elementary School,E,84.8,563 King St N,Pearson,Atkinson County,GA,31642,43.0,Yes,No,621,86,0,0,49,0,0,0,0,0,0.217391304348,0,153,0,0,0,0,0,0,4,0.252818035427,14.5,5948.11,8373554.4,498.0,62.0,0.14264036715,56.0,37.5,6.4,47,0,0,13,41,2,44,5,11.2,21.0,0.0,2.1
11,2015,603,Bacon County,202,Bacon County Middle School,M,66.2,1188 Us Hwy 1S,Alma,Bacon County,GA,31510,33.0,Yes,No,504,24,0,107,144,3,0,33,0,2,0.617063492063,0,0,0,0,1,4,5,1,34,0.0892857142857,14.3,5080.12,10185426.31,271.0,42.0,0.148471608758,32.9,53.6,13.5,34,0,0,19,10,3,68,2,9.8,1.3,1.7,14.8
12,2015,603,Bacon County,302,Bacon County High School,H,67.0,1190 Us Highway 1 S,Alma,Bacon County,GA,31510,33.0,No,No,593,0,0,171,96,13,0,16,0,0,0.49915682968,0,0,0,0,2,20,0,0,22,0.0741989881956,16.7,5768.17,10185426.31,291.0,36.0,0.141577064991,26.6,39.5,33.9,26,0,0,17,6,2,74,1,13.9,0.9,1.6,12.9
13,2015,603,Bacon County,3050,Bacon County Elementary School,E,79.8,523 E 16Th St,Alma,Bacon County,GA,31510,33.0,Yes,No,526,21,0,0,1,0,0,8,0,4,0.0570342205323,3,1,0,0,0,0,0,0,1,0.00950570342205,17.3,4714.24,10185426.31,277.0,33.0,0.129363447428,45.4,43.3,11.2,40,0,0,24,12,3,61,4,17.5,4.1,0.0,7.0
14,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42.0,Yes,No,366,34,0,16,4,0,0,2,2,0,0.158469945355,0,41,0,0,2,0,1,1,9,0.147540983607,12.7,3534.62,994376.68,251.0,10.0,0.240963861346,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0.0,1.3,1.6
15,2015,604,Baker County,105,Baker County K12 School,M,65.1,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42.0,Yes,No,366,34,0,16,4,0,0,2,2,0,0.158469945355,0,41,0,0,2,0,1,1,9,0.147540983607,12.7,3534.62,994376.68,251.0,10.0,0.240963861346,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0.0,1.3,1.6
16,2015,604,Baker County,105,Baker County K12 School,H,76.5,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42.0,Yes,No,366,34,0,16,4,0,0,2,2,0,0.158469945355,0,41,0,0,2,0,1,1,9,0.147540983607,12.7,3534.62,994376.68,251.0,10.0,0.240963861346,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0.0,1.3,1.6
17,2015,605,Baldwin County,104,Eagle Ridge Elementary School,E,47.3,220 N Abc Dr,Milledgeville,Baldwin County,GA,31061,32.0,Yes,No,886,0,0,17,311,0,0,0,0,5,0.370203160271,3,270,0,0,4,0,6,5,104,0.442437923251,23.0,3801.72,25792984.32,802.0,58.0,0.125703558326,58.2,34.2,7.6,59,0,0,80,0,4,16,0,9.4,0.0,0.0,3.5
18,2015,605,Baldwin County,189,Baldwin High School,H,72.8,155 Ga Highway 49 W,Milledgeville,Baldwin County,GA,31061,32.0,Yes,No,1348,1,0,1486,582,21,0,1,0,0,1.55118694362,4,20,0,0,5,10,0,1,41,0.0600890207715,14.5,5011.29,25792984.32,895.0,114.0,0.106834247708,50.4,32.3,17.4,39,1,0,68,3,3,26,0,13.5,0.3,16.8,10.1
19,2015,605,Baldwin County,194,Midway Elementary School,E,56.3,101 Carl Vinson Rd Se,Milledgeville,Baldwin County,GA,31061,41.0,Yes,No,630,0,0,189,103,0,0,0,1,0,0.465079365079,0,273,0,0,0,0,1,0,21,0.468253968254,15.6,4480.52,25792984.32,460.0,33.0,0.179396092892,52.9,37.8,9.4,59,0,0,64,1,5,30,0,11.0,0.0,0.2,3.5
20,2015,605,Baldwin County,195,Blandy Hills Elementary School,E,49.4,375 Blandy Rd Nw,Milledgeville,Baldwin County,GA,31061,41.0,Yes,No,817,0,0,272,130,0,0,0,0,0,0.492044063647,0,402,0,0,0,0,0,0,1,0.493268053856,17.6,4683.75,25792984.32,585.0,55.0,0.103761352599,50.4,40.5,9.1,44,1,0,60,3,4,32,0,8.5,2.7,0.5,5.9
21,2015,605,Baldwin County,199,Creekside Elementary School,E,66.6,372 Blandy Rd Nw,Milledgeville,Baldwin County,GA,31061,32.0,Yes,No,980,0,0,146,82,0,0,0,0,0,0.232653061224,0,5,0,0,0,0,0,0,24,0.0295918367347,18.4,4233.79,25792984.32,529.0,76.0,0.0893433764577,43.7,44.3,12.0,37,3,0,47,5,3,43,0,8.6,1.3,0.0,8.8
22,2015,606,Banks County,105,Banks County Middle School,M,72.8,712 Thompson St,Homer,Banks County,GA,30547,42.0,Yes,No,755,0,0,57,2,2,0,0,0,3,0.0807947019868,0,51,0,0,2,10,2,2,9,0.100662251656,16.6,4977.57,14757549.58,400.0,80.0,0.142649203539,37.5,47.0,15.5,31,1,0,2,7,2,88,0,14.9,0.9,0.1,11.3
23,2015,606,Banks County,107,Banks County Elementary School,E,73.2,180 Highway 51 S,Homer,Banks County,GA,30547,42.0,Yes,No,667,0,0,67,6,0,0,1,0,0,0.110944527736,0,1,0,0,0,0,0,1,32,0.0509745127436,14.6,5739.53,14757549.58,377.0,58.0,0.105691060424,53.7,39.7,6.6,38,0,0,2,8,2,87,0,14.8,2.8,0.0,8.0
24,2015,606,Banks County,199,Banks County High School,H,75.9,P.O. Box 277,Homer,Banks County,GA,30547,41.0,No,No,941,0,1,113,31,5,0,0,0,0,0.159404888417,2,1,1,0,1,77,0,2,23,0.113708820404,13.9,5199.2,14757549.58,431.0,88.0,0.0920314267278,52.2,34.1,13.7,26,1,0,2,8,2,86,0,14.6,1.1,0.2,7.3
26,2015,607,Barrow County,101,Apalachee High School,H,76.0,940 Haymon Morris Rd,Winder,Barrow County,GA,30680,41.0,Yes,No,1747,0,1,698,294,0,0,40,0,34,0.591299370349,14,3,0,0,15,69,2,10,44,0.0898683457355,15.5,4942.28,63294228.45,717.0,183.0,0.115033477545,36.5,38.4,25.1,23,5,0,13,15,3,64,0,12.3,2.1,0.3,12.0
27,2015,607,Barrow County,105,County Line Elementary School,E,75.7,334 Rockwell Church Rd Nw,Winder,Barrow County,GA,30680,31.0,Yes,No,985,0,0,0,12,0,13,20,0,27,0.0456852791878,2,0,0,0,0,0,0,1,21,0.0243654822335,14.7,5477.41,63294228.45,588.0,81.0,0.198473289609,51.7,36.8,11.6,36,3,0,11,20,5,60,0,13.0,14.5,0.0,7.6
28,2015,607,Barrow County,106,Haymon-Morris Middle School,M,78.0,1008 Haymon Morris Rd,Winder,Barrow County,GA,30680,41.0,Yes,No,764,0,0,294,48,5,9,61,0,0,0.545811518325,0,0,2,0,0,12,1,5,16,0.0471204188482,17.0,4466.28,63294228.45,315.0,101.0,0.109243698418,54.5,35.6,9.9,24,3,0,13,16,4,63,0,11.6,3.2,0.4,13.8
29,2015,607,Barrow County,114,Bear Creek Middle School,M,72.0,228 Jefferson St,Statham,Barrow County,GA,30666,31.0,Yes,No,844,0,1,230,91,10,1,44,1,2,0.447867298578,0,0,4,0,1,3,0,1,30,0.0462085308057,16.4,4831.84,63294228.45,391.0,84.0,0.144927531481,53.6,34.4,12.1,30,4,1,18,14,5,57,1,14.1,2.4,1.3,13.5
30,2015,607,Barrow County,189,Kennedy Elementary School,E,82.9,200 Matthews School Rd,Winder,Barrow County,GA,30680,41.0,Yes,No,868,0,0,13,31,0,0,5,0,53,0.0564516129032,0,0,0,0,0,0,0,11,53,0.073732718894,14.4,5818.14,63294228.45,514.0,95.0,0.194341942668,51.3,39.6,9.1,36,2,0,18,17,7,56,0,15.3,10.3,0.0,6.2
31,2015,607,Barrow County,193,Bramlett Elementary School,E,80.8,622 Freeman Brock Rd,Auburn,Barrow County,GA,30011,41.0,Yes,No,743,0,0,0,12,0,45,9,0,28,0.0888290713324,0,0,0,0,0,0,0,5,27,0.043068640646,14.9,5591.5,63294228.45,250.0,65.0,0.109439127147,53.3,41.6,5.1,19,10,0,5,12,3,69,0,9.3,11.2,0.0,8.0
32,2015,607,Barrow County,198,Westside Middle School,M,67.7,240 Matthews School Rd,Winder,Barrow County,GA,30680,41.0,Yes,No,749,0,0,330,130,2,0,67,0,3,0.706275033378,11,4,1,0,12,18,5,6,46,0.137516688919,15.2,5656.5,63294228.45,362.0,82.0,0.152818992734,48.9,39.5,11.6,30,3,0,12,18,6,60,0,14.2,2.7,1.0,11.4
33,2015,607,Barrow County,205,Bethlehem Elementary School,E,75.7,47 Mcelhannon Rd Sw,Bethlehem,Barrow County,GA,30620,31.0,Yes,No,878,0,0,1,14,0,25,13,0,0,0.0603644646925,0,0,0,0,0,0,0,0,0,0.0,15.6,5064.3,63294228.45,451.0,88.0,0.148936167359,54.0,39.4,6.6,27,3,0,12,17,4,64,0,12.9,10.8,0.0,5.5
34,2015,607,Barrow County,289,Russell Middle School,M,75.2,84 W Midland Ave,Winder,Barrow County,GA,30680,31.0,Yes,No,830,0,0,280,86,8,0,42,0,3,0.501204819277,10,1,4,0,0,15,2,5,26,0.0759036144578,15.5,4956.9,63294228.45,376.0,92.0,0.109090909362,61.0,32.4,6.6,27,8,0,9,15,5,63,0,11.5,4.1,0.4,10.9
35,2015,607,Barrow County,298,Yargo Elementary School,E,76.7,1000 Haymon Morris Rd,Winder,Barrow County,GA,30680,41.0,Yes,No,824,0,0,0,30,0,9,16,0,5,0.0667475728155,0,0,0,0,0,0,0,1,14,0.0182038834951,15.5,4961.89,63294228.45,306.0,96.0,0.104294478893,52.9,39.4,7.6,19,4,1,13,14,5,64,0,11.1,10.2,0.0,7.3
36,2015,607,Barrow County,1050,Auburn Elementary School,E,60.7,1334 6Th Ave,Auburn,Barrow County,GA,30011,41.0,Yes,No,824,0,0,26,27,0,0,22,0,29,0.0910194174757,0,0,0,0,7,1,1,4,45,0.0703883495146,14.2,5363.92,63294228.45,453.0,75.0,0.213924050331,46.8,44.8,8.4,31,6,0,6,14,6,68,0,10.2,11.2,0.1,3.4
37,2015,607,Barrow County,3052,Winder-Barrow High School,H,80.2,272 N 5Th Ave,Winder,Barrow County,GA,30680,31.0,Yes,No,1924,0,0,740,131,1,0,15,0,40,0.461018711019,0,4,0,0,0,50,0,12,56,0.0634095634096,16.0,4810.49,63294228.45,770.0,157.0,0.115039281547,39.7,39.6,20.7,21,5,1,14,13,5,62,0,11.7,1.7,0.3,9.6
38,2015,607,Barrow County,4050,Holsenbeck Elementary School,E,78.0,445 Holsenbeck School Rd,Winder,Barrow County,GA,30680,41.0,Yes,No,1010,0,0,31,100,0,0,13,0,0,0.142574257426,0,4,0,0,1,0,1,4,54,0.0633663366337,14.8,5048.21,63294228.45,537.0,90.0,0.135802462697,53.7,36.6,9.7,34,3,1,14,13,6,62,0,12.2,8.0,0.0,7.9
39,2015,607,Barrow County,5050,Statham Elementary School,E,71.5,1970 Broad St,Statham,Barrow County,GA,30666,31.0,Yes,No,955,0,0,12,14,0,2,17,0,124,0.0471204188482,1,119,0,0,1,0,2,0,39,0.169633507853,14.8,4982.91,63294228.45,464.0,105.0,0.145877376199,50.8,39.8,9.4,29,4,0,14,17,3,62,0,11.7,11.2,0.0,5.3
40,2015,608,Bartow County,104,Clear Creek Elementary School,E,74.4,50 Pleasant Valley Rd Nw,Cartersville,Bartow County,GA,30121,41.0,Yes,No,605,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,14.9,6246.45,69533900.14,293.0,83.0,0.195540308952,53.4,38.2,8.4,29,0,0,3,7,3,87,0,13.3,2.8,0.0,15.6
41,2015,608,Bartow County,105,Adairsville High School,H,63.5,519 Old Highway 41 Nw,Adairsville,Bartow County,GA,30103,41.0,No,No,1067,1,9,605,110,10,0,0,0,0,0.688847235239,1,1,0,0,6,48,8,5,51,0.112464854733,15.1,5317.87,69533900.14,405.0,83.0,0.138492867351,32.4,41.0,26.5,22,0,0,5,5,2,88,0,12.9,1.0,1.2,13.9
42,2015,608,Bartow County,106,Pine Log Elementary,E,74.2,1095 Cass Pine Log Rd,Rydal,Bartow County,GA,30171,42.0,Yes,No,427,0,0,0,11,0,0,0,0,0,0.0257611241218,1,22,0,0,0,0,0,0,3,0.0608899297424,13.7,6607.83,69533900.14,242.0,32.0,0.242718443274,55.0,40.0,4.9,34,0,0,2,6,2,90,0,11.2,2.7,0.0,12.6
43,2015,608,Bartow County,107,Euharlee Elementary School,E,66.2,1058 Euharlee Rd,Euharlee,Bartow County,GA,30145,23.0,Yes,No,590,0,0,6,12,0,0,0,0,3,0.0305084745763,0,2,0,0,0,4,0,0,1,0.0118644067797,14.1,6508.72,69533900.14,305.0,56.0,0.151260510087,52.5,38.6,8.8,28,0,0,7,5,4,83,0,12.3,2.4,0.0,7.1
44,2015,608,Bartow County,115,Cloverleaf Elementary,E,70.5,291 Highway 20 Spur,Cartersville,Bartow County,GA,30121,23.0,Yes,No,820,0,0,61,27,0,0,0,0,19,0.107317073171,0,81,0,0,0,0,2,4,42,0.157317073171,13.9,6140.17,69533900.14,447.0,71.0,0.261154860258,51.3,38.0,10.6,32,2,0,13,17,6,62,0,9.5,9.7,0.0,9.7
45,2015,608,Bartow County,175,White Elementary School,E,79.3,505 Colonel Way,White,Bartow County,GA,30184,41.0,Yes,No,602,0,0,51,51,0,0,0,0,39,0.169435215947,2,126,0,0,2,0,3,2,37,0.285714285714,14.5,6085.12,69533900.14,303.0,51.0,0.194899812341,46.5,42.2,11.3,32,2,0,11,12,5,70,0,11.8,8.2,0.0,9.5
46,2015,608,Bartow County,177,Adairsville Elementary School,E,60.6,122 King St,Adairsville,Bartow County,GA,30103,32.0,Yes,No,714,0,0,13,10,0,0,0,0,1,0.0322128851541,0,0,0,0,0,0,2,0,3,0.00700280112045,15.5,5535.47,69533900.14,378.0,60.0,0.146932959557,23.9,45.8,30.3,31,0,0,8,5,5,81,0,9.6,4.3,0.0,9.6
47,2015,608,Bartow County,186,Mission Road Elementary School,E,67.1,1100 Mission Rd Sw,Cartersville,Bartow County,GA,30120,41.0,Yes,No,520,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,13.3,5875.74,69533900.14,223.0,45.0,0.165999993682,56.7,37.5,5.8,29,0,0,9,9,4,77,0,10.9,4.0,0.0,16.1
48,2015,608,Bartow County,190,South Central Middle School,M,66.0,224 Old Alabama Rd Se,Emerson,Bartow County,GA,30137,41.0,Yes,No,727,0,0,302,111,6,0,0,0,0,0.576341127923,1,139,0,0,16,10,6,5,54,0.317744154058,14.8,5386.0,69533900.14,424.0,48.0,0.252351105213,38.9,39.9,21.2,47,1,0,9,16,4,69,0,13.5,3.0,0.6,9.2
49,2015,608,Bartow County,195,Cass Middle School,M,69.2,195 Fire Tower Rd Nw,Cartersville,Bartow County,GA,30120,41.0,Yes,No,1056,0,0,290,98,10,0,0,0,2,0.376893939394,5,15,0,0,4,11,1,13,72,0.114583333333,16.9,4586.25,69533900.14,521.0,109.0,0.135051548481,44.6,38.2,17.2,30,1,0,13,14,4,68,0,10.4,2.8,0.8,15.1
50,2015,608,Bartow County,196,Allatoona Elementary School,E,61.3,4150 New Hope Church Road. Nw,Acworth,Bartow County,GA,30101,21.0,Yes,No,505,0,0,2,21,0,0,0,0,0,0.0455445544554,0,50,0,0,0,0,2,0,5,0.112871287129,14.5,5719.05,69533900.14,352.0,22.0,0.245689660311,47.3,40.8,11.9,50,0,0,4,25,3,67,0,13.2,14.8,0.0,8.2
51,2015,608,Bartow County,198,Woodland High School,H,68.5,800 Old Alabama Rd Se,Cartersville,Bartow County,GA,30120,41.0,No,No,1812,0,2,562,188,19,0,0,0,5,0.425496688742,1,11,0,0,3,107,2,9,43,0.0971302428256,17.2,5064.38,69533900.14,714.0,142.0,0.143872112036,32.8,39.0,28.1,24,1,0,9,9,2,79,0,10.8,0.2,1.5,12.7
52,2015,608,Bartow County,296,Kingston Elementary School,E,69.8,240 Hardin Bridge Rd,Kingston,Bartow County,GA,30145,41.0,Yes,No,590,0,0,4,0,0,0,0,0,0,0.00677966101695,0,1,0,0,0,0,0,0,0,0.00169491525424,13.4,6196.8,69533900.14,391.0,63.0,0.285444229841,49.7,41.0,9.3,40,1,0,17,18,4,59,0,9.8,11.2,0.4,7.0
53,2015,608,Bartow County,301,Adairsville Middle School,M,72.6,485 Old Highway 41 Nw,Adairsville,Bartow County,GA,30103,41.0,Yes,No,760,0,0,179,68,7,0,0,0,8,0.334210526316,3,110,0,0,3,7,5,2,19,0.196052631579,14.9,1.24,69533900.14,334.0,69.0,0.123032905161,45.9,40.3,13.8,29,1,0,5,5,3,87,0,12.2,1.3,0.9,19.8
