,year,sysID,sysName,schoolID,schoolName,adress,latitude,longitude,grd,ccrpi,titleI,chrtr,cluster
0,2015,601,Appling County,103,Appling County High School,"482 Blackshear Hwy,Baxley,Ga,31513",31.757758,-82.354021,H,73.6,No,No,1
1,2015,601,Appling County,177,Appling County Elementary School,"680 Blackshear Hwy,Baxley,Ga,31513",31.754824,-82.354584,E,68.8,Yes,No,3
2,2015,601,Appling County,195,Appling County Middle School,"2997 Blackshear Hwy,Baxley,Ga,31513",31.723121,-82.33976,M,68.8,Yes,No,3
3,2015,601,Appling County,1050,Altamaha Elementary School,"344 Altamaha School Rd,Baxley,Ga,31513",31.875677,-82.365238,E,72.3,Yes,No,3
4,2015,601,Appling County,5050,Fourth District Elementary School,"13396 Blackshear Hwy,Surrency,Ga,31563",31.611834,-82.247988,E,68.2,Yes,No,3
5,2015,602,Atkinson County,103,Atkinson County High School,"145 Rebel Ln,Pearson,Ga,31642",31.321162,-82.847133,H,88.5,Yes,No,3
6,2015,602,Atkinson County,111,Atkinson County Middle School,"145 Rebel Ln,Pearson,Ga,31642",31.321162,-82.847133,M,72.7,Yes,No,3
7,2015,602,Atkinson County,187,Willacoochee Elementary School,"430 South Vickers Street,Willachochee,Ga,31650",31.337995,-83.050067,E,89.7,Yes,No,3
8,2015,602,Atkinson County,190,Pearson Elementary School,"563 King St N,Pearson,Ga,31642",31.300402,-82.852793,E,84.8,Yes,No,3
9,2015,603,Bacon County,202,Bacon County Middle School,"1188 Us Hwy 1S,Alma,Ga,31510",31.500005,-82.457849,M,66.2,Yes,No,3
10,2015,603,Bacon County,302,Bacon County High School,"1190 Us Highway 1 S,Alma,Ga,31510",31.548403,-82.460007,H,67.0,No,No,1
11,2015,603,Bacon County,3050,Bacon County Elementary School,"523 E 16Th St,Alma,Ga,31510",31.538289,-82.456436,E,79.8,Yes,No,3
12,2015,604,Baker County,105,Baker County K12 School,"260 Ga Highway 37 Sw,Newton,Ga,39870",31.310212,-84.344162,E,49.4,Yes,No,2
13,2015,604,Baker County,105,Baker County K12 School,"260 Ga Highway 37 Sw,Newton,Ga,39870",31.310212,-84.344162,M,65.1,Yes,No,2
14,2015,604,Baker County,105,Baker County K12 School,"260 Ga Highway 37 Sw,Newton,Ga,39870",31.310212,-84.344162,H,76.5,Yes,No,2
15,2015,605,Baldwin County,104,Eagle Ridge Elementary School,"220 N Abc Dr,Milledgeville,Ga,31061",33.089726,-83.26199,E,47.3,Yes,No,2
