NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Locale Code*,Locale*,Charter,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.30E+11,6008,1301500,638,NA,NA,8TH GRADE CAMPUS,COWETA COUNTY,COWETA COUNTY,160 MARTIN LUTHER KING DR,NEWNAN,GA,30263,,21,Suburb: Large,No,NA,NA,NA,2,NA,NA,NA
1.30E+11,106,1302580,668,9,9,9TH GRADE ACADEMY,HABERSHAM COUNTY,HABERSHAM COUNTY,171 RAIDER CIRCLE,MOUNT AIRY,GA,30563,,41,Rural: Fringe,No,No,NA,516,29,17.8,250,56
1.30E+11,115,1303870,706,6,8,AARON COHN MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,7352 GARRETT RD,MIDLAND,GA,31820,,41,Rural: Fringe,No,No,NA,480,36.1,13.3,142,52
1.30E+11,1898,1300026,891,8,10,AARON COHN REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,MUSCOGEE COUNTY,7700 CHATTSWORTH RD,MIDLAND,GA,31820,,41,Rural: Fringe,No,Yes,No,6,n/a,NA,n/a,n/a
1.30E+11,101,1302280,660,PK,5,ABBOTTS HILL ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,5575 ABBOTTS BRIDGE RD,DULUTH,GA,30097,,21,Suburb: Large,No,No,NA,752,47.9,15.7,72,19
1.30E+11,117,1300420,611,NA,NA,ACADEMY FOR CLASSICAL EDUCATION,BIBB COUNTY,NA,5665 NEW FORSYTH RD,MACON,GA,31210,,NA,N,Yes,NA,NA,NA,NA,NA,NA,NA
1.30E+11,4060,1304380,721,9,12,ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,910 RUSSELL ST,AUGUSTA,GA,30904,4116,12,City: Midsize,No,No,NA,1277,80.3,15.9,1236,0
1.30E+11,302,1301290,633,2,5,ACWORTH INTERMEDIATE SCHOOL,COBB COUNTY,COBB COUNTY,4220 CANTRELL RD NW,ACWORTH,GA,30101,5316,21,Suburb: Large,No,Yes,Yes,776,60.3,12.9,436,87
1.30E+11,177,1300330,608,PK,5,ADAIRSVILLE ELEMENTARY SCHOOL,BARTOW COUNTY,BARTOW COUNTY,122 KING ST,ADAIRSVILLE,GA,30103,948,32,Town: Distant,No,Yes,Yes,704,45.3,15.5,378,60
1.30E+11,105,1300330,608,9,12,ADAIRSVILLE HIGH SCHOOL,BARTOW COUNTY,BARTOW COUNTY,519 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103,,41,Rural: Fringe,No,No,NA,941,62.5,15.1,405,83
1.30E+11,301,1300330,608,6,8,ADAIRSVILLE MIDDLE SCHOOL,BARTOW COUNTY,BARTOW COUNTY,485 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103,,41,Rural: Fringe,No,Yes,Yes,712,47.7,14.9,334,69
1.30E+11,177,1301230,631,6,8,ADAMSON MIDDLE SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,3187 REX RD,REX,GA,30273,1045,21,Suburb: Large,No,Yes,Yes,594,40.5,14.7,591,0
1.30E+11,413,1300120,761,PK,2,ADAMSVILLE PRIMARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,286 WILSON MILL RD SW,ATLANTA,GA,30331,,11,City: Large,No,Yes,Yes,392,29.1,13.5,389,0
1.30E+11,289,1301290,633,PK,5,ADDISON ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,3055 EBENEZER RD,MARIETTA,GA,30066,4542,21,Suburb: Large,No,No,NA,578,43,13.4,161,37
1.30E+11,1050,1301830,647,9,12,ALBANY HIGH SCHOOL,DOUGHERTY COUNTY,DOUGHERTY COUNTY,801 W RESIDENCE AVE,ALBANY,GA,31701,2148,13,City: Small,No,Yes,Yes,912,52.1,17.5,909,0
1.30E+11,101,1301830,647,6,8,ALBANY MIDDLE SCHOOL,DOUGHERTY COUNTY,DOUGHERTY COUNTY,1700 CORDELL AVE,ALBANY,GA,31705,,13,City: Small,No,Yes,Yes,654,41,16,651,0
1.30E+11,1298,1300026,891,7,9,ALBANY REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,DOUGHERTY COUNTY,2030 NEWTON RD,ALBANY,GA,31701,,13,City: Small,No,Yes,No,8,n/a,NA,n/a,n/a
1.30E+11,1005,1302550,667,PK,5,ALCOVA ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,770 EWING CHAPEL RD,DACULA,GA,30019,,21,Suburb: Large,No,Yes,Yes,1063,71,15,509,129
1.30E+11,206,1303930,707,9,12,ALCOVY HIGH SCHOOL,NEWTON COUNTY,NEWTON COUNTY,14567 HIGHWAY 36,COVINGTON,GA,30014,,41,Rural: Fringe,No,Yes,Yes,1874,102.1,18.4,941,164
1.30E+11,187,1301860,648,9,12,ALEXANDER HIGH SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,6500 ALEXANDER PKWY,DOUGLASVILLE,GA,30135,3596,21,Suburb: Large,No,No,NA,1618,95.6,16.9,526,99
1.30E+11,1050,1300420,611,KG,5,ALEXANDER II MAGNET SCHOOL,BIBB COUNTY,BIBB COUNTY,1156 COLLEGE ST,MACON,GA,31201,,13,City: Small,No,Yes,Yes,586,33,17.8,268,42
1.30E+11,299,1301830,647,PK,5,ALICE COACHMAN ELEMENTARY SCHOOL,DOUGHERTY COUNTY,DOUGHERTY COUNTY,1425 W OAKRIDGE DR,ALBANY,GA,31707,,13,City: Small,No,Yes,Yes,537,30.5,17.6,534,0
1.30E+11,196,1300330,608,PK,5,ALLATOONA ELEMENTARY SCHOOL,BARTOW COUNTY,BARTOW COUNTY,4150 NEW HOPE CHURCH ROAD. NW,ACWORTH,GA,30101,2726,21,Suburb: Large,No,Yes,Yes,460,31.8,14.5,352,22
1.30E+11,209,1301290,633,9,12,ALLATOONA HIGH SCHOOL,COBB COUNTY,COBB COUNTY,3300 DALLAS ACWORTH HWY NW,ACWORTH,GA,30101,,21,Suburb: Large,No,No,NA,1790,87,20.6,305,89
1.30E+11,4065,1303870,706,PK,5,ALLEN ELEMENTARY SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,5201 23RD AVE,COLUMBUS,GA,31904,5012,12,City: Midsize,No,Yes,No,452,28.1,16.1,261,50
1.30E+11,299,1304020,710,PK,5,ALLGOOD ELEMENTARY SCHOOL,PAULDING COUNTY,PAULDING COUNTY,312 HART RD,DALLAS,GA,30157,,21,Suburb: Large,No,Yes,Yes,899,57.5,15.6,454,101
1.30E+11,2050,1301740,644,PK,5,ALLGOOD ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,659 ALLGOOD RD,STONE MOUNTAIN,GA,30083,4576,21,Suburb: Large,No,Yes,Yes,615,38.7,15.9,503,22
1.30E+11,1050,1302280,660,PK,5,ALPHARETTA ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,192 MAYFIELD RD,ALPHARETTA,GA,30004,1595,13,City: Small,No,No,NA,581,48.5,12,105,20
1.30E+11,205,1302280,660,9,12,ALPHARETTA HIGH SCHOOL,FULTON COUNTY,FULTON COUNTY,3595 WEBB BRIDGE RD,ALPHARETTA,GA,30005,,13,City: Small,No,No,NA,2066,122.8,16.8,179,37
1.30E+11,6420,1300008,854,NA,NA,ALPINE PSYCHOEDUCATIONAL PROGRAM,PIONEER RESA,HALL COUNTY,1300A ATHENS STREET,GAINESVILLE,GA,30501,,13,City: Small,No,NA,NA,NA,17,NA,NA,NA
