schoolID,sysID,schoolName,sysName,county,street,city,state,zip,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
6008,638,8TH GRADE CAMPUS,COWETA COUNTY,COWETA COUNTY,160 MARTIN LUTHER KING DR,NEWNAN,GA,30263,21,No,No,17.10792873,428.0284571,46.01911961
106,668,9TH GRADE ACADEMY,HABERSHAM COUNTY,HABERSHAM COUNTY,171 RAIDER CIRCLE,MOUNT AIRY,GA,30563,41,No,No,17.8,250,56
115,706,AARON COHN MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,7352 GARRETT RD,MIDLAND,GA,31820,41,No,No,13.3,142,52
1898,891,AARON COHN REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,MUSCOGEE COUNTY,7700 CHATTSWORTH RD,MIDLAND,GA,31820,41,No,Yes,17.10792873,428.0284571,46.01911961
101,660,ABBOTTS HILL ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,5575 ABBOTTS BRIDGE RD,DULUTH,GA,30097,21,No,No,15.7,72,19
117,611,ACADEMY FOR CLASSICAL EDUCATION,BIBB COUNTY,BIBB COUNTY,5665 NEW FORSYTH RD,MACON,GA,31210,13,Yes,No,17.10792873,428.0284571,46.01911961
4060,721,ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,910 RUSSELL ST,AUGUSTA,GA,30904,12,No,No,15.9,1236,0
302,633,ACWORTH INTERMEDIATE SCHOOL,COBB COUNTY,COBB COUNTY,4220 CANTRELL RD NW,ACWORTH,GA,30101,21,No,Yes,12.9,436,87
177,608,ADAIRSVILLE ELEMENTARY SCHOOL,BARTOW COUNTY,BARTOW COUNTY,122 KING ST,ADAIRSVILLE,GA,30103,32,No,Yes,15.5,378,60
105,608,ADAIRSVILLE HIGH SCHOOL,BARTOW COUNTY,BARTOW COUNTY,519 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103,41,No,No,15.1,405,83
301,608,ADAIRSVILLE MIDDLE SCHOOL,BARTOW COUNTY,BARTOW COUNTY,485 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103,41,No,Yes,14.9,334,69
177,631,ADAMSON MIDDLE SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,3187 REX RD,REX,GA,30273,21,No,Yes,14.7,591,0
