schoolID,sysID,schoolName,sysName,county,street,city,state,zip,adress,latitude,longitude,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
6008,638,8TH GRADE CAMPUS,COWETA COUNTY,COWETA COUNTY,160 MARTIN LUTHER KING DR,NEWNAN,GA,30263,"160 MARTIN LUTHER KING DR,NEWNAN,GA,30263",33.364192,-84.783931,21,No,No,17.10792873,428.0284571,46.01911961
106,668,9TH GRADE ACADEMY,HABERSHAM COUNTY,HABERSHAM COUNTY,171 RAIDER CIRCLE,MOUNT AIRY,GA,30563,"171 RAIDER CIRCLE,MOUNT AIRY,GA,30563",34.557928,-83.494821,41,No,No,17.8,250,56
115,706,AARON COHN MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,7352 GARRETT RD,MIDLAND,GA,31820,"7352 GARRETT RD,MIDLAND,GA,31820",32.550212,-84.82488,41,No,No,13.3,142,52
1898,891,AARON COHN REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,MUSCOGEE COUNTY,7700 CHATTSWORTH RD,MIDLAND,GA,31820,"7700 CHATTSWORTH RD,MIDLAND,GA,31820",32.526417,-84.852838,41,No,Yes,17.10792873,428.0284571,46.01911961
101,660,ABBOTTS HILL ELEMENTARY SCHOOL,FULTON COUNTY,FULTON COUNTY,5575 ABBOTTS BRIDGE RD,DULUTH,GA,30097,"5575 ABBOTTS BRIDGE RD,DULUTH,GA,30097",34.02898,-84.168209,21,No,No,15.7,72,19
117,611,ACADEMY FOR CLASSICAL EDUCATION,BIBB COUNTY,BIBB COUNTY,5665 NEW FORSYTH RD,MACON,GA,31210,"5665 NEW FORSYTH RD,MACON,GA,31210",32.938716,-83.728355,13,Yes,No,17.10792873,428.0284571,46.01911961
4060,721,ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,RICHMOND COUNTY,RICHMOND COUNTY,910 RUSSELL ST,AUGUSTA,GA,30904,"910 RUSSELL ST,AUGUSTA,GA,30904",33.474423,-82.005915,12,No,No,15.9,1236,0
302,633,ACWORTH INTERMEDIATE SCHOOL,COBB COUNTY,COBB COUNTY,4220 CANTRELL RD NW,ACWORTH,GA,30101,"4220 CANTRELL RD NW,ACWORTH,GA,30101",34.057879,-84.653126,21,No,Yes,12.9,436,87
177,608,ADAIRSVILLE ELEMENTARY SCHOOL,BARTOW COUNTY,BARTOW COUNTY,122 KING ST,ADAIRSVILLE,GA,30103,"122 KING ST,ADAIRSVILLE,GA,30103",34.370154,-84.939156,32,No,Yes,15.5,378,60
105,608,ADAIRSVILLE HIGH SCHOOL,BARTOW COUNTY,BARTOW COUNTY,519 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103,"519 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103",34.372899,-84.934421,41,No,No,15.1,405,83
301,608,ADAIRSVILLE MIDDLE SCHOOL,BARTOW COUNTY,BARTOW COUNTY,485 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103,"485 OLD HIGHWAY 41 NW,ADAIRSVILLE,GA,30103",34.372899,-84.934421,41,No,Yes,14.9,334,69
177,631,ADAMSON MIDDLE SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,3187 REX RD,REX,GA,30273,"3187 REX RD,REX,GA,30273",33.589734,-84.286077,21,No,Yes,14.7,591,0
413,761,ADAMSVILLE PRIMARY SCHOOL,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,286 WILSON MILL RD SW,ATLANTA,GA,30331,"286 WILSON MILL RD SW,ATLANTA,GA,30331",33.754786,-84.513546,11,No,Yes,13.5,389,0
289,633,ADDISON ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,3055 EBENEZER RD,MARIETTA,GA,30066,"3055 EBENEZER RD,MARIETTA,GA,30066",34.02526,-84.491418,21,No,No,13.4,161,37
1050,647,ALBANY HIGH SCHOOL,DOUGHERTY COUNTY,DOUGHERTY COUNTY,801 W RESIDENCE AVE,ALBANY,GA,31701,"801 W RESIDENCE AVE,ALBANY,GA,31701",31.583885,-84.169299,13,No,Yes,17.5,909,0
101,647,ALBANY MIDDLE SCHOOL,DOUGHERTY COUNTY,DOUGHERTY COUNTY,1700 CORDELL AVE,ALBANY,GA,31705,"1700 CORDELL AVE,ALBANY,GA,31705",31.592863,-84.112308,13,No,Yes,16,651,0
1298,891,ALBANY REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,DOUGHERTY COUNTY,2030 NEWTON RD,ALBANY,GA,31701,"2030 NEWTON RD,ALBANY,GA,31701",31.553312,-84.168939,13,No,Yes,17.10792873,428.0284571,46.01911961
1005,667,ALCOVA ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,770 EWING CHAPEL RD,DACULA,GA,30019,"770 EWING CHAPEL RD,DACULA,GA,30019",33.968079,-83.898626,21,No,Yes,15,509,129
206,707,ALCOVY HIGH SCHOOL,NEWTON COUNTY,NEWTON COUNTY,14567 HIGHWAY 36,COVINGTON,GA,30014,"14567 HIGHWAY 36,COVINGTON,GA,30014",33.458144,-83.84377,41,No,Yes,18.4,941,164
187,648,ALEXANDER HIGH SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,6500 ALEXANDER PKWY,DOUGLASVILLE,GA,30135,"6500 ALEXANDER PKWY,DOUGLASVILLE,GA,30135",33.68516,-84.787655,21,No,No,16.9,526,99
1050,611,ALEXANDER II MAGNET SCHOOL,BIBB COUNTY,BIBB COUNTY,1156 COLLEGE ST,MACON,GA,31201,"1156 COLLEGE ST,MACON,GA,31201",32.832826,-83.644956,13,No,Yes,17.8,268,42
