,year,sysID,sysName,schoolID,schoolName,grd,ccrpi,street,city,county,state,zip,locClass,titleI,chrtr,totStudnts,crprlPun,dtntn,iss,oss,altSchl,physRest,busSusp,explsn,other_discipline_action,pctDisc,bully,disCond,gngRel,hom,sexRelated,drugAlc,weapons,thftRbry,violence,pctBehavrs,stdTchRatio,expPerStudent,salBenSum,freeLnch,reducedLnch,pctMobile,pctAbs5orLess,pctAbsSix-Fiftn,pctOverFiftn,pctSnapTanfHmls,pctAsian,pctNative,pctBlck,pctHisp,pctMulti,pctWhite,pctMigrant,pctSPED,pctESOL,pctAltProg,pctGiftd,adress,latitude,longitude
0,2015,601,Appling County,103,Appling County High School,H,73.6,482 Blackshear Hwy,Baxley,Appling County,GA,31513,33.0,No,No,1063,0,0,349,90,10,0,8,0,103,0.429915334,0,304,2,0,7,41,2,3,43,0.378174976,16.4,5721.49,18817718.34,726.0,0.0,0.106679961,41.6,38.2,20.2,30,1,0,22,11,2,64,4,12.7,1.3,6.8,6.8,"482 Blackshear Hwy,Baxley,Ga,31513",31.757758,-82.354021
1,2015,601,Appling County,177,Appling County Elementary School,E,68.8,680 Blackshear Hwy,Baxley,Appling County,GA,31513,33.0,Yes,No,619,29,0,0,15,0,0,7,0,1,0.082390953,0,0,0,0,1,0,3,0,10,0.022617124,14.3,4936.78,18817718.34,480.0,1.0,0.093856655,55.1,38.6,6.3,46,1,0,29,19,4,47,7,12.8,8.7,0.0,2.0,"680 Blackshear Hwy,Baxley,Ga,31513",31.754824,-82.354584
2,2015,601,Appling County,195,Appling County Middle School,M,68.8,2997 Blackshear Hwy,Baxley,Appling County,GA,31513,41.0,Yes,No,826,34,0,159,33,3,10,8,0,4,0.299031477,4,8,0,0,7,5,1,2,39,0.079903148,15.6,5703.74,18817718.34,553.0,0.0,0.102864586,48.1,41.2,10.8,38,1,0,22,12,4,62,4,11.2,1.4,2.2,7.0,"2997 Blackshear Hwy,Baxley,Ga,31513",31.723121,-82.33976
3,2015,601,Appling County,1050,Altamaha Elementary School,E,72.3,344 Altamaha School Rd,Baxley,Appling County,GA,31513,42.0,Yes,No,361,40,0,0,0,0,0,1,0,0,0.113573407,0,3,0,0,0,0,0,0,0,0.008310249,14.9,6076.04,18817718.34,264.0,0.0,0.105128206,44.9,42.7,12.5,34,0,0,6,6,2,86,2,13.2,4.1,0.0,6.2,"344 Altamaha School Rd,Baxley,Ga,31513",31.875677,-82.365238
4,2015,601,Appling County,5050,Fourth District Elementary School,E,68.2,13396 Blackshear Hwy,Surrency,Appling County,GA,31563,43.0,Yes,No,164,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0.006097561,14.2,5533.32,18817718.34,130.0,0.0,0.121387281,43.3,45.7,11.0,33,0,0,9,9,5,78,5,8.6,2.6,0.0,2.0,"13396 Blackshear Hwy,Surrency,Ga,31563",31.611834,-82.247988
5,2015,602,Atkinson County,103,Atkinson County High School,H,88.5,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43.0,Yes,No,469,15,0,160,46,13,0,0,0,0,0.498933902,1,0,0,0,0,22,0,0,19,0.089552239,17.8,4788.85,8373554.4,321.0,52.0,0.121839084,58.8,30.3,10.9,33,0,0,20,32,1,47,0,13.3,1.1,4.1,7.6,"145 Rebel Ln,Pearson,Ga,31642",31.321162,-82.847133
6,2015,602,Atkinson County,111,Atkinson County Middle School,M,72.7,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43.0,Yes,No,418,18,0,85,32,9,0,0,0,0,0.344497608,2,0,0,0,2,7,0,0,28,0.093301435,16.5,4607.74,8373554.4,289.0,57.0,0.117346942,55.7,37.6,6.7,41,0,0,15,35,1,49,2,17.3,1.8,1.3,6.4,"145 Rebel Ln,Pearson,Ga,31642",31.321162,-82.847133
7,2015,602,Atkinson County,187,Willacoochee Elementary School,E,89.7,430 South Vickers Street,Willachochee,Atkinson County,GA,31650,42.0,Yes,No,211,2,0,0,5,0,0,0,0,0,0.033175355,0,4,0,0,0,0,0,0,0,0.018957346,13.0,6933.46,8373554.4,194.0,20.0,0.114285715,51.7,41.7,6.6,57,0,0,29,32,2,37,5,14.7,10.0,0.0,1.1,"430 South Vickers Street,Willachochee,Ga,31650",31.337995,-83.050067
8,2015,602,Atkinson County,190,Pearson Elementary School,E,84.8,563 King St N,Pearson,Atkinson County,GA,31642,43.0,Yes,No,621,86,0,0,49,0,0,0,0,0,0.217391304,0,153,0,0,0,0,0,0,4,0.252818035,14.5,5948.11,8373554.4,498.0,62.0,0.142640367,56.0,37.5,6.4,47,0,0,13,41,2,44,5,11.2,21.0,0.0,2.1,"563 King St N,Pearson,Ga,31642",31.300402,-82.852793
9,2015,603,Bacon County,202,Bacon County Middle School,M,66.2,1188 Us Hwy 1S,Alma,Bacon County,GA,31510,33.0,Yes,No,504,24,0,107,144,3,0,33,0,2,0.617063492,0,0,0,0,1,4,5,1,34,0.089285714,14.3,5080.12,10185426.31,271.0,42.0,0.148471609,32.9,53.6,13.5,34,0,0,19,10,3,68,2,9.8,1.3,1.7,14.8,"1188 Us Hwy 1S,Alma,Ga,31510",31.500005,-82.457849
