,year,sysID,sysName,schoolID,schoolName,grd,ccrpi,street,city,county,state,zip,locClass,titleI,chrtr,totStudnts,crprlPun,dtntn,iss,oss,suspRt,altSchl,physRest,busSusp,explsn,other_discipline_action,pctDisc,bullyRt,bully,disCond,gngRelRt,gngRel,hom,sexOffnsRt,sexRelated,drugAlcRt,drugAlc,weapons,thftRbry,violRt,violence,pctBehavrs,stdTchRatio,expPerStudent,salBenSum,freeLnch,reducedLnch,pctMobile,pctAbs5orLess,pctAbsSix-Fiftn,pctOverFiftn,pctSnapTanfHmls,pctAsian,pctNative,pctBlck,pctHisp,pctMulti,pctWhite,pctMigrant,pctSPED,pctESOL,pctAltProg,pctGiftd,2012ccrpi,2013ccrpi,2014ccrpi
0,2015,601,Appling County,103,Appling County High School,H,73.6,482 Blackshear Hwy,Baxley,Appling County,GA,31513,33,No,No,1063,0,0,349,90,0.412982126,10,0,8,0,103,0.429915334,0,0,304,0.001881468,2,0,0.006585136,7,0.038570085,41,2,3,0.040451552,43,0.378174976,16.4,5721.49,18817718.34,726,0,0.106679961,41.6,38.2,20.2,30,1,0,22,11,2,64,4,12.7,1.3,6.8,6.8,73.4,73.2,69.1
1,2015,601,Appling County,177,Appling County Elementary School,E,68.8,680 Blackshear Hwy,Baxley,Appling County,GA,31513,33,Yes,No,619,29,0,0,15,0.024232633,0,0,7,0,1,0.082390953,0,0,0,0,0,0,0.001615509,1,0,0,3,0,0.016155089,10,0.022617124,14.3,4936.78,18817718.34,480,1,0.093856655,55.1,38.6,6.3,46,1,0,29,19,4,47,7,12.8,8.7,0,2,67.4,63.1,57.4
2,2015,601,Appling County,195,Appling County Middle School,M,68.8,2997 Blackshear Hwy,Baxley,Appling County,GA,31513,41,Yes,No,826,34,0,159,33,0.232445521,3,10,8,0,4,0.299031477,0.004842615,4,8,0,0,0,0.008474576,7,0.006053269,5,1,2,0.047215496,39,0.079903148,15.6,5703.74,18817718.34,553,0,0.102864586,48.1,41.2,10.8,38,1,0,22,12,4,62,4,11.2,1.4,2.2,7,78.1,77.1,78.3
3,2015,601,Appling County,1050,Altamaha Elementary School,E,72.3,344 Altamaha School Rd,Baxley,Appling County,GA,31513,42,Yes,No,361,40,0,0,0,0,0,0,1,0,0,0.113573407,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.008310249,14.9,6076.04,18817718.34,264,0,0.105128206,44.9,42.7,12.5,34,0,0,6,6,2,86,2,13.2,4.1,0,6.2,79.7,69,73.8
4,2015,601,Appling County,5050,Fourth District Elementary School,E,68.2,13396 Blackshear Hwy,Surrency,Appling County,GA,31563,43,Yes,No,164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.006097561,14.2,5533.32,18817718.34,130,0,0.121387281,43.3,45.7,11,33,0,0,9,9,5,78,5,8.6,2.6,0,2,62.3,67.6,65.1
5,2015,602,Atkinson County,103,Atkinson County High School,H,88.5,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43,Yes,No,469,15,0,160,46,0.439232409,13,0,0,0,0,0.498933902,0.002132196,1,0,0,0,0,0,0,0.046908316,22,0,0,0.040511727,19,0.089552239,17.8,4788.85,8373554.4,321,52,0.121839084,58.8,30.3,10.9,33,0,0,20,32,1,47,0,13.3,1.1,4.1,7.6,60.4,85.1,79.8
6,2015,602,Atkinson County,111,Atkinson County Middle School,M,72.7,145 Rebel Ln,Pearson,Atkinson County,GA,31642,43,Yes,No,418,18,0,85,32,0.279904306,9,0,0,0,0,0.344497608,0.004784689,2,0,0,0,0,0.004784689,2,0.016746411,7,0,0,0.066985646,28,0.093301435,16.5,4607.74,8373554.4,289,57,0.117346942,55.7,37.6,6.7,41,0,0,15,35,1,49,2,17.3,1.8,1.3,6.4,72,72.7,72.4
7,2015,602,Atkinson County,187,Willacoochee Elementary School,E,89.7,430 South Vickers Street,Willachochee,Atkinson County,GA,31650,42,Yes,No,211,2,0,0,5,0.023696682,0,0,0,0,0,0.033175355,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.018957346,13,6933.46,8373554.4,194,20,0.114285715,51.7,41.7,6.6,57,0,0,29,32,2,37,5,14.7,10,0,1.1,70,84.1,90.6
8,2015,602,Atkinson County,190,Pearson Elementary School,E,84.8,563 King St N,Pearson,Atkinson County,GA,31642,43,Yes,No,621,86,0,0,49,0.078904992,0,0,0,0,0,0.217391304,0,0,153,0,0,0,0,0,0,0,0,0,0.006441224,4,0.252818035,14.5,5948.11,8373554.4,498,62,0.142640367,56,37.5,6.4,47,0,0,13,41,2,44,5,11.2,21,0,2.1,82.8,79.6,92.1
9,2015,603,Bacon County,202,Bacon County Middle School,M,66.2,1188 Us Hwy 1S,Alma,Bacon County,GA,31510,33,Yes,No,504,24,0,107,144,0.498015873,3,0,33,0,2,0.617063492,0,0,0,0,0,0,0.001984127,1,0.007936508,4,5,1,0.067460317,34,0.089285714,14.3,5080.12,10185426.31,271,42,0.148471609,32.9,53.6,13.5,34,0,0,19,10,3,68,2,9.8,1.3,1.7,14.8,72.5,79.6,77.3
10,2015,603,Bacon County,302,Bacon County High School,H,67,1190 Us Highway 1 S,Alma,Bacon County,GA,31510,33,No,No,593,0,0,171,96,0.450252951,13,0,16,0,0,0.49915683,0,0,0,0,0,0,0.003372681,2,0.033726813,20,0,0,0.037099494,22,0.074198988,16.7,5768.17,10185426.31,291,36,0.141577065,26.6,39.5,33.9,26,0,0,17,6,2,74,1,13.9,0.9,1.6,12.9,80.2,69.4,73.4
11,2015,603,Bacon County,3050,Bacon County Elementary School,E,79.8,523 E 16Th St,Alma,Bacon County,GA,31510,33,Yes,No,526,21,0,0,1,0.001901141,0,0,8,0,4,0.057034221,0.005703422,3,1,0,0,0,0,0,0,0,0,0,0.001901141,1,0.009505703,17.3,4714.24,10185426.31,277,33,0.129363447,45.4,43.3,11.2,40,0,0,24,12,3,61,4,17.5,4.1,0,7,83.6,89.7,87.7
12,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,64.3,56.4
13,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,64.3,61.4
14,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,64.3,62.4
15,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,60.2,56.4
16,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,60.2,61.4
17,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,60.2,62.4
18,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,57.4,56.4
19,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,57.4,61.4
20,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,55.7,57.4,62.4
21,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,60.5,64.3,56.4
22,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,60.5,64.3,61.4
23,2015,604,Baker County,105,Baker County K12 School,E,49.4,260 Ga Highway 37 Sw,Newton,Baker County,GA,39870,42,Yes,No,366,34,0,16,4,0.054644809,0,0,2,2,0,0.158469945,0,0,41,0,0,0,0.005464481,2,0,0,1,1,0.024590164,9,0.147540984,12.7,3534.62,994376.68,251,10,0.240963861,55.5,41.3,3.3,56,0,0,68,10,4,4,1,14.6,0,1.3,1.6,60.5,64.3,62.4
