draft_year,draft_round,draft_pick,draft_ovpick,name,school,nba_team,nba_position,height,weight,nba_years,nba_games,nba_minutes,nba_fgm,nba_fga,nba_fg_pct,nba_3pt_fgm,nba_3pt_fga,nba_3pt_fg_pct,nba_ftm,nba_fta,nba_ft_pct,nba_points_c,nba_reb_c,nba_assist_c,nba_steals_c,nba_blocks_c,nba_to_c,nba_pf_c,nba_mpg,nba_ppg,nba_rpg,nba_apg,nba_spg,nba_bpg,nba_topg,nba_pfpg,nba_pp36,nba_rp36,nba_ap36,nba_sp36,nba_bp36,nba_top36,nba_pfp36,nba_pp100p,nba_rp100p,nba_ap100p,nba_sp100p,nba_bp100p,nba_top100p,nba_pfp100p,nba_per,nba_ows,nba_dws,nba_tws,nba_wsp48,rk_games,rk_minutes,rk_fgm,rk_fga,rk_fg_pct,rk_3pt_fgm,rk_3pt_fga,rk_3pt_fg_pct,rk_ftm,rk_fta,rk_ft_pct,rk_points,rk_reb,rk_assist,rk_steals,rk_blocks,rk_to,rk_pf,rk_mpg,rk_ppg,rk_rpg,rk_apg,rk_spg,rk_bpg,rk_topg,rk_pfpg,rk_pp36,rk_rp36,rk_ap36,rk_sp36,rk_bp36,rk_top36,rk_pfp36,rk_pp100p,rk_rp100p,rk_ap100p,rk_sp100p,rk_bp100p,rk_top100p,rk_pfp100p,rk_per,rk_ows,rk_dws,rk_tws,rk_wsp48,rk_team_wins,rk_team_losses,nba_roy,nba_sn_roy,nba_rom,nba_rom_num,nba_all_rookie,nba_all_rookie_1,nba_all_rookie_2,nba_allstar,nba_allstar_num,nba_allstar_mvp,nba_allstar_mvp_num,nba_6th_man,nba_6th_man_num,nba_mip,nba_mip_num,nba_allnba,nba_allnba_1,nba_allnba_2,nba_allnba_3,nba_alldef,nba_alldef_1,nba_alldef_2,nba_pow,nba_pow_num,nba_pom,nba_pom_num,nba_sn_mvp,nba_sn_mvp_num,nba_mvp,nba_mvp_num,nba_dpoy,nba_dpoy_num,nba_champ,nba_champ_num,nba_finals_mvp,nba_finals_mvp_num,nba_22_ppg_seasons,nba_10_rpg_seasons,nba_7_apg_seasons,nba_2_spg_seasons,nba_2_bpg_seasons,nba_5_rpg_5_apg,nba_dbl_dbl,nba_trp_dbl,nba_quad_dbl,nba_5_by_5,hall_of_fame_pct,hall_of_fame,coll_conference,coll_games,coll_minutes,coll_fgm,coll_fga,coll_fg_pct,coll_3pm,coll_3pa,coll_3pt_pct,coll_ftm,coll_fta,coll_ft_pct,coll_pts_c,coll_reb_c,coll_ast_c,coll_stl_c,coll_blk_c,coll_to_c,coll_pf_c,coll_mpg,coll_fgm_game,coll_fga_game,coll_ppg,coll_rpg,coll_apg,coll_spg,coll_bpg,coll_topg,coll_pfpg,coll_win,coll_loss,coll_pct,conf_win,conf_loss,conf_pct,coll_made_tourn,coll_tourn_seed,coll_final_four,coll_nat_champ,ap_all_american,ap_all_american_1,ap_all_american_2,ap_all_american_3,coll_usbwa_poy,coll_usbwa_poy_num,coll_ap_poy,coll_ap_poy_num,coll_helms_poy,coll_helms_poy_num,coll_naismith,coll_naismith_num,coll_sportnews_poy,coll_sportnews_poy_num,coll_upi_poy,coll_upi_poy_num,coll_nabc_dpoy,coll_nabc_dpoy_num,coll_nabc_poy,coll_nabc_poy_num,coll_wooden,coll_wooden_num,coll_usbwa_foy,coll_usbwa_foy_num,coll_ncaa_mop,coll_ncaa_mop_num,coll_rupp,coll_rup_num,coll_nit_mvp,coll_nit_mvp_num,mcdonalds_all_american
1985,1,1,1,"Ewing, Patrick",Georgetown,New York Knicks,C,84,240,17,"1,183","40,594","9,702","19,241",50.4%,19,125,15.2%,"5,392","7,289",74.0%,"24,815","11,607","2,215","1,136","2,894","3,537","4,034",34.3,21.0,9.8,1.9,1.0,2.4,3.0,3.4,22.0,10.3,2.0,1.0,2.6,3.1,3.6,31.1,14.5,2.8,1.4,3.6,4.4,5.1,21.0,45.0,81.4,126.4,0.150,50,"1,771",386,814,47.4%,0,5,0.0%,226,306,73.9%,998,451,102,54,103,172,191,35.4,20.0,9.0,2.0,1.1,2.1,3.4,3.8,20.3,9.2,2.1,1.1,2.1,3.5,3.9,27.4,12.4,2.8,1.5,2.8,4.7,5.3,17.4,0.0,3.1,3.1,0.084,23,59,Yes,Yes,Yes,2,Yes,1,0,Yes,11,No,0,No,0,No,0,Yes,1,6,0,Yes,0,3,Yes,12,Yes,5,No,0,No,0,No,0,No,0,No,0,9,9,0,0,14,0,580,0,0,0,0.963,Yes,Big East,37,"1,132",220,352,62.5%,,,,102,160,63.8%,542,341,48,42,135,81,109,30.6,5.9,9.5,14.6,9.2,1.3,1.1,3.6,2.2,2.9,35,3,0.921,14,2,0.875,Yes,1,Yes,No,Yes,3,0,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,Yes
1985,1,2,2,"Tisdale, Wayman",Oklahoma,Indiana Pacers,PF,81,240,12,840,"23,868","5,338","10,575",50.5%,0,21,0.0%,"2,202","2,897",76.0%,"12,878","5,117","1,077",464,500,"1,407","2,801",28.4,15.3,6.1,1.3,0.6,0.6,1.7,3.3,19.4,7.7,1.6,0.7,0.8,2.1,4.2,26.4,10.5,2.2,1.0,1.0,2.9,5.7,15.7,25.7,20.0,45.7,0.092,81,"2,277",516,"1,002",51.5%,0,2,0.0%,160,234,68.4%,"1,192",584,79,32,44,188,290,28.1,14.7,7.2,1.0,0.4,0.5,2.3,3.6,18.8,9.2,1.2,0.5,0.7,3.0,4.6,24.9,12.2,1.7,0.7,0.9,3.9,6.1,14.0,0.7,2.6,3.2,0.068,26,56,No,No,No,0,No,0,0,No,0,No,0,No,0,No,0,No,0,0,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,1,0,0,0,0,0,129,0,0,0,0.002,No,Big 8,37,"1,283",370,640,57.8%,,,,192,273,70.3%,932,378,47,32,52,73,112,34.7,10.0,17.3,25.2,10.2,1.3,0.9,1.4,2.0,3.0,31,6,0.838,13,1,0.929,Yes,1,No,No,Yes,3,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes
1985,1,3,3,"Benjamin, Benoit",Creighton,Los Angeles Clippers,C,84,250,15,807,"21,911","3,588","7,224",49.7%,1,21,4.8%,"2,046","2,837",72.1%,"9,223","6,063","1,070",522,"1,581","1,847","2,292",27.2,11.4,7.5,1.3,0.6,2.0,2.3,2.8,15.2,10.0,1.8,0.9,2.6,3.0,3.8,20.5,13.5,2.4,1.2,3.5,4.1,5.1,14.8,3.2,29.5,32.7,0.072,79,"2,088",324,661,49.0%,1,3,33.3%,229,307,74.6%,878,600,79,64,206,145,286,26.4,11.1,7.6,1.0,0.8,2.6,1.8,3.6,15.1,10.3,1.4,1.1,3.6,2.5,4.9,19.7,13.4,1.8,1.4,4.6,3.2,6.4,16.1,1.7,2.3,4.0,0.093,32,50,No,No,Yes,1,No,0,0,No,0,No,0,No,0,No,0,No,0,0,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,1,0,0,6,0,206,0,0,0,0.001,No,MVC,32,"1,193",258,443,58.2%,,,,172,233,73.8%,688,451,68,27,162,88,100,37.3,8.1,13.8,21.5,14.1,2.1,0.8,5.1,2.8,3.1,20,12,0.625,9,7,0.563,No,,No,No,No,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes
1985,1,4,4,"McDaniel, Xavier",Wichita St.,Seattle SuperSonics,SF,79,205,12,870,"25,201","5,673","11,685",48.5%,74,283,26.1%,"2,186","3,046",71.8%,"13,606","5,313","1,775",791,416,"1,887","2,557",29.0,15.6,6.1,2.0,0.9,0.5,2.2,2.9,19.4,7.6,2.5,1.1,0.6,2.7,3.7,26.6,10.4,3.5,1.5,0.8,3.7,5.0,16.1,23.9,24.0,47.8,0.091,82,"2,706",576,"1,176",49.0%,2,10,20.0%,250,364,68.7%,"1,404",655,193,101,37,248,305,33.0,17.1,8.0,2.4,1.2,0.5,3.0,3.7,18.7,8.7,2.6,1.3,0.5,3.3,4.1,25.6,11.9,3.5,1.8,0.7,4.5,5.6,16.3,1.8,3.3,5.1,0.091,31,51,No,No,No,0,Yes,1,0,Yes,1,No,0,No,0,No,0,No,0,0,0,No,0,0,Yes,2,No,0,No,0,No,0,No,0,No,0,No,0,1,0,0,0,0,0,116,0,0,0,0.008,No,MVC,31,"1,143",351,628,55.9%,,,,142,224,63.4%,844,460,69,46,31,99,101,36.9,11.3,20.3,27.2,14.8,2.2,1.5,1.0,3.2,3.3,18,13,0.581,11,5,0.688,Yes,11,No,No,Yes,1,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
1985,1,5,5,"Koncak, Jon",Southern Methodist,Atlanta Hawks,C,84,250,11,784,"16,409","1,444","3,073",47.0%,19,84,22.6%,613,"1,027",59.7%,"3,520","3,856",785,542,791,624,"2,474",20.9,4.5,4.9,1.0,0.7,1.0,0.8,3.2,7.7,8.5,1.7,1.2,1.7,1.4,5.4,10.7,11.7,2.4,1.6,2.4,1.9,7.5,9.8,6.1,23.0,29.2,0.085,82,"1,695",263,519,50.7%,0,1,0.0%,156,257,60.7%,682,467,55,37,69,111,296,20.7,8.3,5.7,0.7,0.5,0.8,1.4,3.6,14.5,9.9,1.2,0.8,1.5,2.4,6.3,19.3,13.2,1.6,1.0,2.0,3.1,8.4,13.0,1.4,2.4,3.7,0.106,50,32,No,No,No,0,No,0,0,No,0,No,0,No,0,No,0,No,0,0,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0,0,0,18,0,0,0,0.000,No,SWC,33,"1,084",219,370,59.2%,,,,128,192,66.7%,566,354,42,13,91,81,115,32.8,6.6,11.2,17.2,10.7,1.3,0.4,2.8,2.5,3.5,23,10,0.697,10,6,0.625,Yes,5,No,No,Yes,0,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
1985,1,6,6,"Kleine, Joe",Arkansas,Sacramento Kings,C,83,255,15,965,"14,712","1,902","4,201",45.3%,13,48,27.1%,849,"1,069",79.4%,"4,666","3,991",622,261,285,777,"1,988",15.2,4.8,4.1,0.6,0.3,0.3,0.8,2.1,11.4,9.8,1.5,0.6,0.7,1.9,4.9,15.6,13.3,2.1,0.9,1.0,2.6,6.6,10.5,5.5,13.7,19.1,0.062,80,"1,180",160,344,46.5%,0,0,,94,130,72.3%,414,373,46,24,34,107,224,14.8,5.2,4.7,0.6,0.3,0.4,1.3,2.8,12.6,11.4,1.4,0.7,1.0,3.3,6.8,16.5,14.9,1.8,1.0,1.4,4.3,8.9,9.7,-0.4,1.3,0.9,0.037,37,45,No,No,No,0,No,0,0,No,0,No,0,No,0,No,0,No,0,0,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0,0,0,41,0,0,0,0.000,No,SWC,35,"1,289",294,484,60.7%,,,,185,257,72.0%,773,294,23,38,16,87,99,36.8,8.4,13.8,22.1,8.4,0.7,1.1,0.5,2.5,2.8,22,13,0.629,10,6,0.625,Yes,9,No,No,No,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes
1985,1,7,7,"Mullin, Chris",St. John's,Golden State Warriors,SF,78,200,16,986,"32,163","6,740","13,243",50.9%,815,"2,120",38.4%,"3,616","4,178",86.5%,"17,911","4,034","3,450","1,530",549,"2,315","2,050",32.6,18.2,4.1,3.5,1.6,0.6,2.3,2.1,20.0,4.5,3.9,1.7,0.6,2.6,2.3,26.8,6.0,5.2,2.3,0.8,3.5,3.1,18.8,69.2,23.8,93.1,0.139,55,"1,391",287,620,46.3%,5,27,18.5%,189,211,89.6%,768,115,105,70,23,75,130,25.3,14.0,2.1,1.9,1.3,0.4,1.4,2.4,19.9,3.0,2.7,1.8,0.6,1.9,3.4,25.4,3.8,3.5,2.3,0.8,2.5,4.3,16.0,2.3,0.6,2.9,0.100,30,52,No,No,No,0,No,0,0,Yes,5,No,0,No,0,No,0,Yes,1,2,1,No,0,0,Yes,4,Yes,2,No,0,No,0,No,0,No,0,No,0,5,0,0,3,0,2,50,5,0,0,0.132,Yes,Big East,35,"1,327",251,482,52.1%,,,,192,233,82.4%,694,169,151,73,17,90,68,37.9,7.2,13.8,19.8,4.8,4.3,2.1,0.5,2.6,1.9,31,4,0.886,15,1,0.938,Yes,1,Yes,No,Yes,1,1,0,Yes,1,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,Yes
1985,1,8,8,"Schrempf, Detlef",Washington,Dallas Mavericks,SF,81,214,16,"1,136","33,597","5,400","10,995",49.1%,475,"1,236",38.4%,"4,486","5,585",80.3%,"15,761","7,023","3,833",856,312,"2,268","3,360",29.6,13.9,6.2,3.4,0.8,0.3,2.0,3.0,16.9,7.5,4.1,0.9,0.3,2.4,3.6,23.6,10.5,5.7,1.3,0.5,3.4,5.0,17.2,76.4,33.1,109.5,0.156,64,969,142,315,45.1%,3,7,42.9%,110,152,72.4%,397,198,88,23,10,84,166,15.1,6.2,3.1,1.4,0.4,0.2,1.3,2.6,14.7,7.4,3.3,0.9,0.4,3.1,6.2,19.2,9.6,4.3,1.1,0.5,4.1,8.0,10.9,0.3,0.5,0.8,0.040,44,38,No,No,No,0,No,0,0,Yes,3,No,0,Yes,2,No,0,Yes,0,0,1,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0,0,1,203,7,0,0,0.015,No,Pac 10,32,"1,180",191,342,55.8%,,,,125,175,71.4%,507,255,134,17,20,116,90,36.9,6.0,10.7,15.8,8.0,4.2,0.5,0.6,3.6,2.8,22,10,0.688,13,5,0.722,Yes,5,No,No,No,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
1985,1,9,9,"Oakley, Charles",Virginia Union,Cleveland Cavaliers,PF,80,225,19,"1,282","40,280","4,835","10,263",47.1%,68,269,25.3%,"2,679","3,522",76.1%,"12,471","12,205","3,217","1,351",384,"2,785","4,421",31.4,9.7,9.5,2.5,1.1,0.3,2.2,3.4,11.1,10.9,2.9,1.2,0.3,2.5,4.0,15.8,15.5,4.1,1.7,0.5,3.5,5.6,13.4,26.3,63.3,89.7,0.107,77,"1,772",281,541,51.9%,0,3,0.0%,178,269,66.2%,740,664,133,68,30,175,250,23.0,9.6,8.6,1.7,0.9,0.4,2.3,3.2,15.0,13.5,2.7,1.4,0.6,3.6,5.1,20.1,18.0,3.6,1.8,0.8,4.8,6.8,16.5,1.7,1.6,3.3,0.090,30,52,No,No,Yes,1,Yes,1,0,Yes,1,No,0,No,0,No,0,No,0,0,0,Yes,1,1,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,6,0,0,0,0,427,3,0,0,0.004,No,Division II,31,,283,453,62.5%,,,,178,266,66.9%,744,535,66,,32,,,,9.1,14.6,24.0,17.3,2.1,,1.0,,,,,#DIV/0!,,,#DIV/0!,No,,No,No,No,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
1985,1,10,10,"Pinckney, Ed",Villanova,Phoenix Suns,PF,81,195,12,793,"15,698","1,915","3,577",53.5%,0,18,0.0%,"1,548","2,024",76.5%,"5,378","3,952",727,612,435,845,"1,531",19.8,6.8,5.0,0.9,0.8,0.5,1.1,1.9,12.3,9.1,1.7,1.4,1.0,1.9,3.5,16.7,12.3,2.3,1.9,1.4,2.6,4.8,14.8,25.4,17.3,42.7,0.130,80,"1,602",255,457,55.8%,0,2,0.0%,171,254,67.3%,681,308,90,71,37,148,190,20.0,8.5,3.9,1.1,0.9,0.5,1.9,2.4,15.3,6.9,2.0,1.6,0.8,3.3,4.3,19.5,8.8,2.6,2.0,1.1,4.2,5.4,12.8,0.8,1.8,2.7,0.080,32,50,No,No,No,0,No,0,0,No,0,No,0,No,0,No,0,No,0,0,0,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0,0,0,48,0,0,0,0.000,No,Big East,35,"1,186",177,295,60.0%,,,,192,263,73.0%,546,311,71,54,64,86,113,33.9,5.1,8.4,15.6,8.9,2.0,1.5,1.8,2.5,3.2,25,10,0.714,9,7,0.563,Yes,8,Yes,Yes,No,0,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0,Yes
